feature,importance
group_3946,0.0002123629662913421
group_2972,0.00021154754855569474
pduF,0.00021150611221033573
proP_4,0.00021142030692483904
group_19384,0.00021126782296687738
group_6611,0.00021113084549831667
dinJ,0.00021098530998860433
tonB_2,0.00021080867128975628
idnK,0.00021067657094604747
group_1082,0.00021042088110151142
group_1322,0.00021001586908375646
pgaD,0.00020983653563878552
group_5294,0.0002096754367000113
yfcI,0.00020939648207113015
shp,0.00020937037487305237
group_21548,0.00020935314317001795
djlB,0.00020925630398369098
group_17049,0.00020912852841058717
yccE,0.00020846904082298765
group_6095,0.0002084293770927772
group_3509,0.00020745779888446062
group_11444,0.0002074492017100372
group_6039,0.00020737378326267923
group_6106,0.00020731765670432118
tnsC,0.00020669766927976165
group_1967,0.00020624042776337288
group_16804,0.00020606863784035023
adiC,0.00020592798807037065
traL,0.00020503972686718378
wcaK,0.00020494180926818032
group_11271,0.00020485970059132348
yafO,0.00020477264397548344
yadA,0.00020461973990075838
rz,0.00020431843742454523
group_273,0.00020428139469740112
ybbC,0.00020424412223477636
L,0.00020405385047266543
ybl63_2,0.00020384322845672312
pduQ,0.00020372152543895826
setA,0.00020349856018445585
potE,0.0002034973234294473
xapB,0.00020312233518777434
insH,0.00020291421970855108
group_8417,0.00020236251062071594
group_3975,0.00020228574407267163
group_8585,0.00020216027177664538
group_11045,0.00020194357912967456
agp_2,0.0002019189216229696
kil,0.0002018951311129927
group_5896,0.0002010898806387195
group_6980,0.00020103780598937322
dnaT_2,0.00020076057859649778
ybl63,0.00020033878226801904
tibA_1,0.00020026928156686075
group_17144,0.00020012662855361767
group_1252,0.00020012173740827202
insD_2,0.0001994535053215376
lysP_2,0.00019930922998521005
group_35047,0.00019903965707854303
group_6384,0.00019895820954184552
wzx,0.0001982859813718623
group_8535,0.0001979062846113969
lfgI,0.00019712042882699362
lfhB,0.00019708878513632433
ydbD,0.00019697110122912358
stpA_2,0.00019675573854762395
deoR_2,0.0001960918107350343
group_514,0.00019588990232809794
group_1486,0.0001958385577733438
group_3200,0.00019540853001896738
rz_1,0.00019516944597362766
group_19288,0.0001950779746350819
yhiK,0.00019495220755344833
group_12595,0.000194439114960448
wcaC,0.00019437296606615654
group_3524,0.00019424393436548462
group_432,0.00019417638641291838
group_633,0.00019413549721435542
group_2261,0.00019388226433723934
group_11329,0.00019360397493445997
wbdH,0.00019356909011388024
group_7086,0.00019303115652505927
group_3518,0.00019289531316410338
group_186,0.00019266082493925497
group_1588,0.00019260619600111037
cjrC,0.00019232087964255425
group_11378,0.00019204502113893566
group_18786,0.00019188266214808993
group_429,0.0001918064318929861
group_12364,0.0001915307139602658
lfgM,0.00019100916481489314
group_19289,0.00019066259755975238
group_103,0.0001903137326610593
cmlA1,0.00019006881081633592
group_20011,0.00019002687935717013
nudD,0.0001899497103964449
group_30627,0.00018984675232162706
group_56,0.0001897373444373303
group_7309,0.00018957074749996087
group_464,0.0001895392143613035
papH,0.0001888269874475578
group_2885,0.00018873977595116213
group_30306,0.00018853108037939317
group_11134,0.00018842946148024266
group_12019,0.00018842313926797666
yraK,0.00018832319842568566
group_9218,0.00018828515754087862
fadH_2,0.00018774579675980146
group_3403,0.00018768156826355297
